OP_UNIQUE_CARRIER,ORIGIN_AIRPORT,DEST_AIRPORT,CARRIER_TYPE,ROUTE_TYPE,ORIGIN_TIER,CATE_T1,DOWNSTREAM_SPILLOVER,RECOVERY_WINDOW,ROUTE_30DAY_DISR_RATE,TOPSIS_SCORE,TOPSIS_RANK,NEXT_DISRUPTED,RANK_LONGEST_DELAY,RANK_EARLIEST_DEP,RANK_SPILLOVER,RANK_CATE_ONLY,RANK_RANDOM
G4,AVL,FLL,ULCC,Hub-to-Spoke,Small,0.5741258,1,470,0.3166666666666666,1.0,1,1.0,1,1,1,1,2
OO,GRB,ORD,Regional,Hub-to-Spoke,Small,0.6748463,2,745,0.1166666666666666,1.0,1,0.0,3,2,2,1,5
WN,SBA,DEN,LCC,Hub-to-Spoke,Small,0.6272654,0,425,0.1916666666666666,1.0,1,1.0,2,1,3,1,2
QX,PAE,LAS,Regional,Hub-to-Spoke,NonHub,0.62737375,0,380,0.15,1.0,1,1.0,3,1,2,1,1
WN,MAF,DAL,LCC,Hub-to-Spoke,Small,0.6036266,1,95,0.2583333333333333,1.0,1,1.0,2,1,1,1,2
HA,LIH,HNL,Mainline,Hub-to-Hub,Medium,0.49201477,7,320,0.1307406141616668,1.0,1,0.0,3,1,1,1,3
9E,MQT,DTW,Regional,Hub-to-Spoke,Small,0.47207385,1,765,0.1,1.0,1,0.0,3,1,1,1,1
WN,PVD,MCO,LCC,Hub-to-Hub,Medium,0.5821455,1,170,0.2716666666666666,1.0,1,1.0,2,1,1,1,2
OO,ICT,IAH,Regional,Hub-to-Spoke,Small,0.61516774,0,439,0.2,1.0,1,0.0,2,1,1,1,1
OO,FAT,SFO,Regional,Hub-to-Spoke,Small,0.6069402,1,539,0.1472222222222222,1.0,1,0.0,2,1,1,1,4
OO,JAN,DFW,Regional,Hub-to-Spoke,Small,0.6384922,2,205,0.1988888888888889,1.0,1,1.0,3,1,1,1,3
9E,BGR,LGA,Regional,Hub-to-Spoke,Small,0.66868865,1,189,0.1527777777777777,1.0,1,1.0,4,1,1,1,3
NK,BQN,MCO,ULCC,Hub-to-Spoke,Small,0.46118572,0,1034,0.25,1.0,1,1.0,3,1,3,1,1
OO,TRI,ATL,Regional,Hub-to-Spoke,Small,0.6055036,2,765,0.1661111111111111,1.0,1,1.0,1,1,1,1,2
QX,MFR,SEA,Regional,Hub-to-Spoke,Small,0.6287447,4,690,0.0885185185185185,1.0,1,1.0,2,1,1,1,3
G4,AZA,LAS,ULCC,Hub-to-Spoke,Small,0.58633035,0,250,0.6333333333333333,1.0,1,1.0,3,1,3,1,2
QX,MSO,SEA,Regional,Hub-to-Spoke,Small,0.7098747,3,447,0.0622222222222222,1.0,1,1.0,1,1,1,1,1
UA,BZN,DEN,Mainline,Hub-to-Spoke,Small,0.54441726,0,268,0.1418650793650793,1.0,1,1.0,2,1,2,1,1
B6,ACK,JFK,LCC,Hub-to-Spoke,Small,0.53194237,1,488,0.2916666666666667,1.0,1,0.0,1,1,1,1,4
OH,MYR,CLT,Regional,Hub-to-Spoke,Small,0.73875827,2,472,0.2043650793650793,1.0,1,1.0,2,1,1,1,6
OO,TRI,ATL,Regional,Hub-to-Spoke,Small,0.62847656,2,765,0.1661111111111111,1.0,1,0.0,3,1,1,1,1
